No.;Designación;Cantidad;Longitud - cruda;Ancho - crudo;Espesor - crudo;Longitud;Anchura;Grosor;Area - final;Tipo de material;Nombre del material;Descripción del material;URL del material;Nombres de instancias;Descripción;URL;Etiquetas;Longitud del borde 1;Longitud del borde 2;Ancho del borde 1;Ancho de borde 2;Frente;Dorso;Etiquetas
A;B;2;1385.0 mm;600.0 mm;15.0 mm;1385.0 mm;600.0 mm;15.0 mm;0.65 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
B;P;1;830.0 mm;300.0 mm;15.0 mm;830.0 mm;300.0 mm;15.0 mm;0.25 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
C;A;1;800.0 mm;600.0 mm;15.0 mm;800.0 mm;600.0 mm;15.0 mm;0.48 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
D;R;1;800.0 mm;300.0 mm;15.0 mm;800.0 mm;300.0 mm;15.0 mm;0.24 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
E;C;1;745.0 mm;570.0 mm;15.0 mm;745.0 mm;570.0 mm;15.0 mm;0.42 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
F;L;1;570.0 mm;460.0 mm;15.0 mm;570.0 mm;460.0 mm;15.0 mm;0.26 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
G;G;1;570.0 mm;325.0 mm;15.0 mm;570.0 mm;325.0 mm;15.0 mm;0.19 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
H;H;1;570.0 mm;325.0 mm;15.0 mm;570.0 mm;325.0 mm;15.0 mm;0.19 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
I;Z;1;570.0 mm;325.0 mm;15.0 mm;570.0 mm;325.0 mm;15.0 mm;0.19 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
J;I;2;570.0 mm;130.0 mm;15.0 mm;570.0 mm;130.0 mm;15.0 mm;0.07 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
K;M;2;570.0 mm;120.0 mm;15.0 mm;570.0 mm;120.0 mm;15.0 mm;0.07 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
L;O;1;467.5 mm;165.0 mm;15.0 mm;467.5 mm;165.0 mm;15.0 mm;0.08 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
M;D;2;460.0 mm;200.0 mm;15.0 mm;460.0 mm;200.0 mm;15.0 mm;0.09 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
N;N;2;404.0 mm;120.0 mm;15.0 mm;404.0 mm;120.0 mm;15.0 mm;0.05 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
O;Q;1;342.5 mm;332.5 mm;15.0 mm;342.5 mm;332.5 mm;15.0 mm;0.11 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
P;K;1;332.5 mm;165.0 mm;15.0 mm;332.5 mm;165.0 mm;15.0 mm;0.05 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
Q;E;2;325.0 mm;100.0 mm;15.0 mm;325.0 mm;100.0 mm;15.0 mm;0.03 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
R;F;2;325.0 mm;60.0 mm;15.0 mm;325.0 mm;60.0 mm;15.0 mm;0.02 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
S;S;2;305.0 mm;300.0 mm;15.0 mm;305.0 mm;300.0 mm;15.0 mm;0.09 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
T;J;2;269.0 mm;130.0 mm;15.0 mm;269.0 mm;130.0 mm;15.0 mm;0.03 m²;Tablero;MELAMINA 15MM;"";"";"";"";"";"";"";"";"";"";"";"";Layer0
